Agenda items,Accept,Reject,"Dissenting
Opinion"
ORDINARY BUSINESS:,,,
"6. In accordance with the-provisions of Section 769 of the Companies
Act, 2015 the following Directors, being members of the Group Board
Audit & Risk Committee be elected to continue to serve as members
of the said Committee:
Mr. Pratul Shah
Mr. Richard Omwela
Mr. Jonathan Neil Eggar",,,
7. To approve the Directors Remuneration,,,
SPECIAL BUSINESS:,,,
"1. A mendment of the Articles of Association of the Company:
To consider and if thought fit to pass the following Special Resolution:
To amend the Articles of Association of the Company by adding the
following Article immediately after Article 64
64A ATTENDANCE OF A GENERAL MEETING BY ELECTRONIC MEANS
64A.1 In the case of any general meeting, the Board may resolve to and
make arrangements for simultaneous attendance and participation by
electronic means allowing persons not present together at the same
place to attend, speak and vote at the meeting. The arrangements
for simultaneous attendance and participation at any place at which
persons are participating, using electronic means may include
arrangements for controlling or regulating the level of attendance at
any particular venue provided that such arrangements shall operate so
that all members and proxies wishing to attend the meeting are able to
attend at one or other of the venues, including venues chosen by such
persons individually.
64A.2 The members or proxies at the place or places at which persons
are participating via electronic means shall be counted in the quorum
for, and be entitled to vote at, the general meeting in question, and
that meeting shall be duly constituted and its proceedings valid if
the Chairman of the meeting is satisfied that adequate facilities are
available throughout the meeting to ensure that the members or proxies
attending at the place or places at which persons are participating via
electronic means are able to:
a) participate in the business for which the meeting has been convened;
and
b) see and hear all persons who speak (whether through the’ use of
microphones, loud speakers, computer, audio-visual communication
equipment or otherwise, whether in use when these Articles are
adopted or developed subsequently) in the place at which persons are
participating and any other place at which persons are participating
via electronic means.",,,
