"Share
capital","Share
premium","Merger
reserve",Column,Column,Total
,"4,436,532
-
-
-","1,457,248
-
-
-","(689,887)
133,300
-
-","(413,954) (13,185)
- (3,162)
(19,479) (5,453)
- (39,641)","5,208,910"
,,,,,"130,138"
,,,,,"(24,932)"
,,,,,"(39,641)"
,"4,436,532","1,457,248","(556,587)","(433,433) (61,441)","5,274,475"
,"4,436,532
-
-
-","1,457,248
-
-
-","(556,587)
(507,629)
-
-","(433,433) (61,441)
- 890
(55,253) 6,312
- (74,898)","5,274,475"
,,,,,"(506,739)"
,,,,,"(48,941)"
,,,,,"(74,898)"
,"4,436,532","1,457,248","(1,064,216)","(488,686) (129,137)","4,643,897"
