Agenda items,Accept,Reject,"Dissenting
Opinion"
ORDINARY BUSINESS:,,,
"3. To receive and, If approved, adopt the audited Balance Sheet and
Accounts for the year ended 31 December 2019, together with the
Chairman’s, the Directors’ and Auditor’s Reports thereon.",,,
"4. To ratify the special interim dividend totaling to
KShs. 3,457,247,880.00 (on 432,155,985 shares @ 8 per share) declared
by the Directors on 6th July 2020 and paid on or before 28th August
2020 and note that the Directors do not recommend the payment of
a dividend for the financial year ended 31st December 2019.",,,
"5. Directors:
Mr. Richard Omwela retires by rotation in accordance with Article 93
of the Company’s Articles of Association and, being eligible, offers
himself for re-election.",,,
