H1 2025,H1 2024
"(250,201)
(503,610)","(261,823)
(42,249)"
"(196,784)","(188,764)"
"(950,595)","(492,836)"
"99,234","1,455,435"
"(284,818)","(92,823)"
"(1,136,179)","869,776"
"2,143,139","1,164,963"
"(1,136,179)","869,776"
"134,277","5,094"
"1,141,237","2,039,833"
