"Fixed
deposits","Call
deposits",Total
"300,000","377,958","677,958"
"104,883",–,"104,883"
"101,290",–,"101,290"
–,"297,768","297,768"
–,"13,850","13,850"
"1,473",–,"1,473"
–,–,–
"507,646","689,576","1,197,222"
