"31 Dec
2019",Column,"31 Dec
2019"
,"361,613
–
–
197,781
314,256
719,684
1,590,913",
"209,544",,"87,436"
"307,441",,"126,846"
–,,"4,943,180"
"196,371",,"160,939"
"409,644",,"495,251"
"631,392",,"263,516"
"339,038",,–
"2,093,430","3,184,247","6,077,168"
,"5,637,216
73,960
263,300
841,726
4,424,749",
"3,618,865",,"456,941"
"10,431",,801
"86,030",,"1,396,266"
"735,455",,"50,516"
"2,133,713",,"870,801"
"6,584,494","11,240,951
–","2,775,325"
"4,125,249",,"2,813,814"
"10,709,743","11,240,951","5,589,139"
"12,803,173","14,425,198","11,666,307"
,"432,156
9,155,166
(813,799)",
"432,156",,"432,156"
"9,155,166",,"9,155,166"
"(2,128,152)",,"691,607"
"(430,223)","(407,094)
8,366,429
122,950",–
"7,028,947",,"10,278,929"
"163,625",,–
"7,192,572","8,489,379
2,974
–
502,106","10,278,929"
34,,–
"255,441",,"111,174"
–,,–
"255,475","505,080","111,174"
,"4,672,024
204,556
540,104
–
14,055",
"3,041,605",,"533,931"
"87,813",,–
"31,578",,"685,564"
"61,330",,"23,993"
"32,716",,"32,716"
"3,255,042","5,430,739
–","1,276,204"
"2,100,084",,–
"5,355,126","5,430,739","1,276,204"
"12,803,173","14,425,198","11,666,307"
