Column,14.02.23,"17.03.23
(Sp)",24.04.23,21.08.23,"6.09.23
(sub)",21.11.23
"Ms. Beverly Spencer-Obatoyinbo (Committee
chairperson)",✓,✓,✓,✓,✓,✓
Mr. Richard Omwela,✓,✓,✓,✓,-,✓
Mr. Peter Kimurwa,✓,✓,✓,✓,-,✓
Mr. Shahid Sadiq,✓,(a),✓,✓,✓,(a)
Mr. Dominic Grainger,✓,(a),✓,(a),-,✓
Ms. Patricia Kiwanuka,✓,✓,✓,✓,✓,(a)
