Column,Agenda,Resolution,Column,For,Column,% in favour,Against,% Against,Abstained,Column
,No.,,,,,,,,,
,,,,,(as a percentage of total votes cast at the meeting),,,,,
5,5,,Approve the,"308,635,741","308,635,741",99.99%,"41,600",0.01%,"166,485","166,485"
,,,Directors,,,,,,,
,,,Remuneration Report,,,,,,,
,,,and Remuneration for,,,,,,,
,,,the year ended 31,,,,,,,
,,,December 2019,,,,,,,
