Salary,Allowances,Fees,"Value of non
cash benefits"
"42,850","28,315",-,"7,091"
"30,000","1,910",-,"1,035"
-,-,"1,240",-
-,-,700,-
-,-,660,-
"72,850","30,225","2,600","8,126"
