2019,Column,2019,Column,2019
"9,282,328","11,448,501","3,298,158","2,373,289","12,580,486"
"2,872,837","3,028,509
129,120
(25,317)
280,522
30,477","2,198,877","1,476,395
511,914
20,160
10,582
2,430","5,071,714"
"130,546",,"536,884",,"667,430"
"(34,163)",,"9,207",,"(24,956)"
"165,620",,"(3,566)",,"162,054"
"28,679",,"1,956",,"30,635"
"290,682","414,802
(168,312)","544,481","545,086
(179,367)","835,163"
"(131,890)",,"(211,864)",,"(343,754)"
"158,792","246,490","332,617","365,719","491,409"
,"224,828
21,662",,"329,653
36,066",
"145,903",,"286,068",,"431,971"
"12,889",,"46,549",,"59,438"
"158,792","246,490","332,617","365,719","491,409"
