Column,Name,Column,Designation,Column,Date of Appointment
Mr. Richard Omwela,,"Chairman, Non- Executive Director",,14/11/2005,
Ms. Patricia Ithau,,"Chief Executive Officer, Executive Director",,14/03/2022,
Mr. Jonathan Eggar,,Non-Executive Director,,29/05/2015,
Mr. Shahid Sadiq,,Non- Executive Director,,08/02/2021,
Mr. Dominic Grainger,,Non- Executive Director,,26/07/2018,
Ms. Patricia Kiwanuka,,Independent Non-executive Director,,31/03/2022,
Ms. Beverly Spencer-Obatoyinbo,,Independent Non-executive Director,,31/03/2022,
Mr. Peter Kimurwa,,Independent Non-executive Director,,31/03/2022,
Mr. Federico De Nardis,,Non-executive Director,,31/03/2022,
Ms. Tebogo Skwambane,,Non-executive Director,,31/03/2022,
Ms. Patricia (Patou) Helene Nuytemans,,Non-executive Director,,30/06/2023,
