Name,Position,20/2,10/4,7/8,31/10,22/11,%Attendance
,Chairman,√,√,√,√,√,
Bharat Thakrar,Director/CEO,√,√,√,√,√,100
,Director,X,X,X,X,X,
Lawrence Mellman,Director,√,X,√,√,√,80
,Director,X,√,√,√,√,
Satyabrata Das,Director/CFO,N/A,√,√,√,√,100
,Director,√,√,√,√,√,
Patricia Ithau,Director,√,√,√,√,√,100
,Director,√,X,√,√,√,
Muchiri Wahome,Director,X,√,Rtd,Rtd,Rtd,20
