Country,Business Activities
,Media investment management
Ghana,GroupM Africa Ltd.
Ghana,MEC Africa Ltd.
Kenya,Media Compete East Africa Ltd.
Kenya,Mindshare Kenya Ltd.
Kenya,Ogilvy Africa Media Ltd.
Kenya,Scangroup (Malawi) Ltd.
Kenya,Scangroup (Mauritius) Ltd.
Kenya,Scangroup Mozambique Limitada
Kenya,Scangroup (Zambia) Ltd.
Kenya,
Nigeria,Public relations
Rwanda,Hill & Knowlton East Africa Ltd.
South Africa,Ogilvy Public Relations Ltd.
Tanzania,Hill & Knowlton Strategies Nigeria Ltd.
Tanzania,"Hill & Knowlton Strategies Uganda
Ltd."
Tanzania,Hill + Knowlton Strategies SA Pty Ltd.
Uganda,WPP Team Gabon SARL
Uganda,
Zambia,Digital advertising
,Squad Digital Ltd.
,Squad Digital Nigeria Ltd.
Ghana,
Kenya,Speciality communication
Nigeria,Roundtrip Ltd.
