New and Amendments to standards,"Effective for annual periods
beginning on or after"
"Amendments to IAS 10 and IAS 28 Sale or Contribution of Assets between
an investor and its Associate or Joint Venture","Yet to be set, however earlier
application permitted"
Amendments to IFRS 3 Definition of a business,"1 January 2020, with earlier
application permitted"
Amendments to IAS 1 and IAS 8- Definition of material,"1 January 2020, with earlier
application permitted"
"Conceptual Framework: Amendments to References to the Conceptual
Framework in IFRS standards","1 January 2020, with earlier
application permitted"
