FY,Column
+/-,+/- %
"382,035
( 153,268)
228,767
11,777
22,238
692","9%
-4%
55%
56%
81%
0%"
"263,474
( 129,208)","38%
-59%"
"134,266
34,481","28%
148%"
"99,785",22%
"26,645",7%
0.17,14%
