Column,14.02.23,24.04.23,11.07.23,21.08.23,21.11.23
Mr. Peter Kimurwa,✓,✓,✓,✓,✓
Mr. Jonathan Eggar,(a),✓,(a),✓,✓
Mr. Shahid Sadiq,✓,✓,✓,✓,✓
Ms. Patricia Kiwanuka,✓,✓,✓,✓,✓
"Ms. Beverly Spencer-
Obatoyinbo",✓,✓,✓,✓,✓
Mr. Federico De Nardis,✓,✓,(a),✓,✓
