Name,Position,"1st date of
appointment","Last
re-election"
David Graham Michael Hutchison,"Chairman/
Director",14/11/2005,26/05/2017
Bharat Thakrar,Director/CEO,26/01/1999,N/A
Andrew Grant Balfour Scott,Director,31/10/2008,N/A
Richard Omwela,Director,14/11/2005,26/05/2017
Wahome Muchiri,Director,14/11/2005,31/05/2016
Lawrence Mellman,Director,17/04/2012,N/A
Jonathan Neil Eggar,Director,29/05/2015,N/A
Patricia Ithau,Director,15/03/2017,15/03/2017
Scott Edward Spirit,Director,15/03/2017,15/03/2017
