Column,DOMICILE,Column,SHARES,Column,%,Column,HOLDERS
FOREIGN INVESTORS,,"322,278,170",,74.57%,,293,
LOCAL INSTITUTIONS,,"9,652,982",,2.23%,,837,
LOCAL INDIVIDUALS,,"100,224,833",,23.19%,,"23,888",
TOTAL,,"432,155,985",,100%,,"25,018",
