KAPCHORUA TEA COMPANY LIMITED,Column,Column,Column,Column,Column,Column,Column,Column,Column
UNAUDITED RESULTS FOR THE 6 MONTHS ENDED 30 SEPTEMBER 2012,,,,,,,,,
STATEMENT OF COMPREHENSIVE INCOME,,,,,,,STATEMENT OF FINANCIAL POSITION,,
,,,,30.09.2012,30.09.2011,,,30.09.2012,30.09.2011
,,,,Kshs'000,Kshs'000,,,Kshs'000,Kshs'000
,,,,,,,Capital and reserves,,
Turnover,,,,"589,422","5 92,426",,Share Capital,"19,560","19,560"
,,,,,,,Capital reserves,"188,357","85,953"
Profit from operations before biological assets valuation,,,,"38,968","1 40,509",,Revenue Reserves,"1,002,515","1,028,910"
Increase in fair value of biological assets,,,,"106,254","9 2,421",,Shareholders funds,"1,210,432","1,134,423"
Finance income,,,,"6,402","3 4,735",,,,
Profit before taxation,,,,"151,624","2 67,665",,Non current Liabilities,,
Tax charge,,,,"(45,487)","(80,300)",,Deferred Taxation,"328,094","276,305"
Profit for the year,,,,"106,137","1 87,366",,Employee benefit obligations,"77,334","68,680"
,,,,,,,Borrowings & Finance lease,-,-
Comprising:,,,,,,,,"405,428","344,985"
Profit arising from operating activities,,,,"31,759","1 22,671",,,"1,615,860","1,479,408"
Profit arising from changes in fair value of biological assets,,,,"74,378","6 4,695",,REPRESENTED BY,,
,,,,"106,137","1 87,366",,Non current assets,,
,,,,,,,"Property , Plant and Equipment","446,408","302,133"
Issued Shares of Kshs 5 each,,,,"3,912,000","3 ,912,000",,Prepaid Operating Lease Rentals,"21,715","21,715"
Earnings per share (Kshs),,,,27.13,4 7.90,,Intangible Assets,411,260
,,,,,,,Investments,717,717
,,,,,,,Biological Assets,"833,052","810,590"
STATEMENT OF CHANGES IN EQUITY,,,,,,,,"1,302,303","1,135,415"
,,,Revenue Reserves,,,,Current Assets,,
,Share,Capital,Biological Assets,,,,Inventories,"179,768","173,285"
,Capital,Reserves,gains/(losses),Other,Total,Total,Trade and other receivables,"305,731","292,994"
,Kshs'000,Kshs'000,Kshs'000,Kshs'000,Kshs'000,Kshs'000,Due from related companies,"13,572","26,363"
,,,,,,,Taxation,-,-
Balance at 1 April 2011,"19,560","85,953","394,277","476,608","870,884","9 76,397",Bank & Cash,"156,908","125,600"
Total comprehensive income for the year,,,"64,695","122,671","187,366","1 87,366",,"655,979","618,242"
Dividend paid - 2011,,,-,"(29,340)","(29,340)","(29,340)",Current Liabilities,,
Balance at 30 September 2011,"19,560","85,953","458,972","569,938","1 ,028,910","1 ,134,423",Trade and other payables,"265,887","168,905"
,,,,,,,Due to related companies,"67,154","79,596"
,,,,,,,Borrowings & finance leases,-,"1,716"
Balance at 1 April 2012,"19,560","188,357","398,585","527,133","925,718","1 ,133,635",Taxation,"9,381","24,032"
Total comprehensive income for the year,,,"74,378","31,759","106,137","1 06,137",,"342,422","274,249"
Dividend paid - 2012,,,-,"(29,340)","(29,340)","(29,340)",,"1,615,860","1,479,408"
Balance at 30 September 2012,"19,560","188,357","472,963","529,552","1 ,002,515","1 ,210,432",,-,-
,,,,,,,STATEMENT OF CASH FLOWS,30.09.2012,30.09.2011
,,,,,,,,Kshs'000,Kshs'000
COMMENTARY ON THE RESULTS,,,,,,,Operating activities,,
Weather conditions have been generally favourable with crop levels above estimate. The actual costs of doing business have increased,,,,,,,Cash generated from operations,"(5,896)","66,723"
"substantially, broken down into large increases in the cost of green leaf purchases, power, fuel, selling and distribution costs, an additional",,,,,,,Interest paid,(717),(706)
"12% on wage costs and huge increases to our export of taxation liabilities. In addition plant, property and equipment were revalued at",,,,,,,Interest received,"9,635","1,474"
March 2012 which significantly increased the depreciation charge for the six months. Prices for tea have been overall satisfactory,,,,,,,Tax Paid,"(1,900)",-
with no significant fluctuations in the Kenya Shilling although compared to the same time a year ago the Dollar / Shilling price is averaging,,,,,,,,"1,122","67,491"
7% stronger in favour of the Shilling. The combination of all theses factors have reduced the operational profit by 72%.,,,,,,,Investing activities,,
,,,,,,,Purchase of Plant and equipment,"(20,190)","(63,247)"
,,,,,,,Expenditure on biological assets,(329),(351)
PROSPECTS,,,,,,,,"(20,519)","(63,598)"
Since September crop intakes have improved. Market expectation is for prices to soften somewhat with increases in supply. The behaviour,,,,,,,Financing activities,,
of the Kenya Shilling in the next six months with general elections to be finalised is unknown. We shall be closely monitoring our cost,,,,,,,Loans repaid,-,(460)
structures that are within our power and this will include the amounts we are able to pay our green leaf partners.,,,,,,,Net finance lease obligations,-,"(2,540)"
,,,,,,,Dividends paid,"(14,416)","(29,340)"
,,,,,,,,"(14,416)","(32,340)"
UNCLAIMED DIVIDENDS,,,,,,,,,
Pursuant to the provisions of the Unclaimed Financial Assets Act 2011 and effective as from 1st November 2012 all unclaimed dividends,,,,,,,Increase in cash and cash equivalents,"(33,813)","(28,447)"
over 3 years old have to be surrended to the Unclaimed Financial Assets Authority (Government of Kenya) as unclaimed assets. Once,,,,,,,Movement in cash and cash equivalents,,
"surrended to the Authority, claims for these dividends must be directed to the Authority and not to our Shares Registrar or Company Secretary.",,,,,,,At 1 April,"190,721","154,047"
,,,,,,,Increase,"(33,813)","(28,447)"
,,,,,,,At 30 September,"156,908","125,600"
,,,,,,,Cash and Bank balances,"122,593","100,062"
G K MASAKI,,,,,,,Short term deposits,"34,315","25,538"
COMPANY SECRETARY,,,,,,,,"156,908","125,600"
