Retained earnings
"Biological Assets
fair value Other Total
Kshs'000 Kshs'000 Kshs'000
519,693 8 30,976 1,350,669
(40,016) (85,649) ( 125,665)
- 4 2,960 42,960
- (12,888) ( 12,888)
- (78,240) ( 78,240)
`"
"479,677 697,159 1,176,836"
