KCB KENYA BANK,Column,NATIONAL BANK OF KENYA,Column,KCB GROUP PLC (COMPANY),Column,KCB GROUP PLC (CONSOLIDATED)
"30-Sep-20
Kshs 000
Un-audited","30-Jun-20 31-Mar-20 31-Dec-19 30-Sep-19
Kshs 000 Kshs 000 Kshs 000 Kshs 000
Un-audited Un-audited Audited Un-audited
10,321,966 2,510,549 8,719,671 5,377,355
6,852,603 4,123,350 15,644,172 11,546,063
60,235 24,710 323,366 79,872
61,594 16,821 132,753 121,104
772,186 514,120 1,944,821 1,436,984
893,204 433,055 1,432,055 1,014,034
5,629,678 2,634,622 11,016,949 7,707,263","30-Sep-20
Kshs 000
Un-audited","30-Jun-20 31-Mar-20 31-Dec-19 30-Sep-19
Kshs 000 Kshs 000 Kshs 000 Kshs 000
Un-audited Un-audited Audited Un-audited
413,679 294,514 1,984,542 (30,756)
1,953,757 1,001,102 4,026,922 3,041,333
12,106 4,761 41,449 36,188
73,344 34,280 127,190 149,937
332,618 168,044 704,351 529,737
200,508 99,768 408,226 308,290
1,130,082 510,543 1,872,835 1,343,308","30-Sep-20
Kshs 000
Un-audited","30-Jun-20 31-Mar-20 31-Dec-19 30-Sep-19
Kshs 000 Kshs 000 Kshs 000 Kshs 000
Un-audited Un-audited Audited Un-audited
- - - -
101,300 85,099 66,500 24,446
31,016 10,041 38,611 35,711
- - - -
5,747 2,781 8,610 5,987
1,013 506 506 -
174,959 122,381 560,077 199,739","30-Sep-20
Kshs 000
Un-audited"
"18,678,712",,"619,459",,-,,"20,012,212"
"10,250,128",,"3,071,130",,"122,559",,"15,236,842"
"95,951",,"15,679",,"47,735",,"234,283"
"189,871",,"186,468",,-,,"423,436"
"1,163,657",,"500,743",,"8,874",,"2,097,177"
"1,336,842",,"295,548",,"1,519",,"1,722,587"
"8,152,656",,"1,432,651",,"693,267",,"12,273,120"
"39,867,817","24,591,466 10,257,227 39,213,787 27,282,675","6,121,678","4,116,094 2,113,012 9,165,515 5,378,037","873,954","314,035 220,808 674,304 265,883","51,999,657"
"15,117,993","11,361,470 7,854,739 33,183,948 25,079,448","535,418","186,626 234,029 (821,245) 624,863","(589,292)","(50,369) 19,091 16,028,523 3,099,463","17,143,137"
-,- - - -,-,"- - (137,713) (124,226)",-,- - - -,-
"15,117,993","11,361,470 7,854,739 33,183,948 25,079,448","535,418","186,626 234,029 (958,958) 500,637","(589,292)","(50,369) 19,091 16,028,523 3,099,463","17,143,137"
"(7,422,769)","(4,630,572) (2,465,970) (11,589,773) (8,501,872)
315,086 70,940 1,111,726 1,364,771",-,"- - (235,339) (14,208)
(567,930) (79,105) 857,307 (109,952)",-,"- 479 (41,286) (55,266)
8,686 (1,151) (100,948) (104,842)","(8,050,219)"
"2,157,065",,"(447,543)",,"64,574",,"1,798,471"
"9,852,289","7,045,984 5,459,709 22,705,901 17,942,347","87,875","(381,304) 154,924 (336,990) 376,477","(524,718)","(41,683) 18,419 15,886,289 2,939,355","10,891,389"
-,- - - -,-,- -,-,- - - -,-
"9,852,289","7,045,984 5,459,709 22,705,901 17,942,347","87,875","(381,304) 154,924 (336,990) 376,477","(524,718)","(41,683) 18,419 15,886,289 2,939,355","10,891,389"
,"- - - -
1,788,361 150,549 (3,612,287) (957,722)
- - (719,000) -
- - - -
(536,508) (45,165) 869,353 287,317",,"- - - -
112,611 - 194,861 (49,525)
- - (8,881) (3,963)
- - - -
(33,783) - (55,794) 12,609",,"- - - -
(1,261) (166) (12,653) (9,996)
- - - -
- - - -
378 50 3,796 2,999",
-,,-,,-,,"(9,388)"
"2,388,947",,"102,926",,233,,"2,276,513"
-,,-,,-,,-
-,,-,,-,,-
"(716,684)",,"(25,731)",,(70),,"(682,954)"
"1,672,263","1,251,853 105,384 (3,461,934) (670,405)","77,195","78,828 - 130,186 (40,879)",163,"(883) (116) (8,857) (6,997)","1,584,171"
"11,524,552","8,297,837 5,565,093 19,243,967 17,271,942","165,070","(302,476) 154,924 (206,804) 335,598","(524,555)","(42,566) 18,303 15,877,432 2,932,358","12,475,560"
0.24,0.26 0.40 0.40 0.44,0.01,- 0.05 - 0.07,-,- 0.02 5.12 1.28,4.52
-,- - 0.30 -,-,- - - -,-,- - 3.50 -,-
,"50,442,944 37,422,149 34,786,250 38,870,521
5,832,716 4,403,204 4,050,790 4,440,619",,,,,
"63,560,622",,"29,326,125",,,,"96,991,204"
"6,453,082",,"5,930,707",,,,"12,908,435"
"57,107,540","44,610,228 33,018,945 30,735,460 34,429,902","23,395,418",,,,"84,082,769"
"31,992,184","24,379,566 19,516,138 17,052,633 17,916,752","10,645,056",,,,"43,877,837"
"25,115,356","20,230,662 13,502,807 13,682,827 16,513,150","12,750,362",,,,"40,204,932"
"21,182,731","17,302,378 11,473,497 11,604,247 13,794,759","12,390,155",,,,"42,418,717"
"3,932,625","2,928,284 2,029,310 2,078,580 2,718,391","360,207",,,,"(2,213,785)"
,"2,454,867 2,913,388 1,385,533 1,498,544
13,302,548 13,086,830 12,614,514 12,438,125",,,,,
"2,902,336",,19,,,,"1,447,488"
"13,899,192",,"5,669,242",,,,"20,825,902"
"16,801,528","15,757,415 16,000,218 14,000,047 13,936,669","5,669,261",,,,"22,273,390"
,"76,782,495 79,374,884 76,191,558 69,747,767
16,002,702 18,681,757 14,472,705 20,338,185
- - - -",,,,,
"71,190,693",,"6,989,341",,,,"88,584,894"
"11,087,442",,"177,343",,,,"12,382,297"
-,,-,,,,-
"82,278,135","92,785,197 98,056,641 90,664,263 90,085,952","7,166,684",,,,"100,967,191"
"98,394,397","97,191,535 92,399,743 90,200,466 93,398,670","6,565,072",,,,"133,916,473"
"1,000,000","1,000,000 1,000,000 1,000,000 1,000,000","1,000,000",,,,"7,810,155"
"97,394,397","96,191,535 91,399,743 89,200,466 92,398,670","5,565,072",,,,"126,106,318"
"8,137,500","7,998,750 11,697,078 10,866,500 7,792,500","1,264,293",,,,"13,097,894"
"106,531,897","105,190,285 104,096,821 101,066,966 101,191,170","7,829,365",,,,"147,014,367"
"614,026,280","603,667,601 606,969,620 577,236,270 566,922,401","76,029,719",,,,"751,536,383"
16.5%,16.5% 15.9% 17.1% 17.9%,6.1%,,,,17.3%
8.0%,"8.0% 8.0% 8.0% 8.0%
8.5% 7.9% 9.1% 9.9%",8.0%,,,,8.0%
