KCB KENYA BANK,Column,NATIONAL BANK OF KENYA,Column,KCB GROUP PLC COMPANY,Column,KCB GROUP PLC CONSOLIDATED
"31-Mar-23
Kshs 000
Un-audited","31-Dec-22 31-Mar-22
Kshs 000 Kshs 000
Audited Un-audited
10,332,230 8,528,043
32,017,676 22,427,593
- 2,577,572
- -
126,184,144 99,784,029
- -
77,640,039 91,405,803
2,065,406 2,126,118
1,700,652 2,645,218
23,430,225 7,404,906
2,306,005 -
613,892,181 551,160,564
10,228,308 4,834,579
446,875 400,253
- -
- -
12,600,607 10,227,387
9,812,222 9,815,944
117,027 118,899
3,439,459 4,160,335
20,130,483 19,237,528
- -
25,009,222 21,625,181","31-Mar-23
Kshs 000
Un-audited","31-Dec-22 31-Mar-22
Kshs 000 Kshs 000
Audited Un-audited
1,432,365 1,091,995
3,806,747 3,378,494
- -
- -
- -
24,564,568 33,429,933
295,081 -
23,831,380 18,193,460
- -
1,722,415 1,352,457
856,588 946,746
35,633 -
71,188,674 67,470,096
20,504 -
630,147 682,051
24,963 24,963
- -
- -
2,107,445 3,967,622
- -
413,519 555,525
4,423,855 3,384,397
- -
7,415,390 6,021,806","31-Mar-23
Kshs 000
Un-audited","31-Dec-22 31-Mar-22
Kshs 000 Kshs 000
Audited Un-audited
- -
- -
- -
- -
- -
- -
- -
- -
711,662 3,449,910
- -
90,291 92,517
- -
- 58,396
- -
114,270,238 87,963,501
- -
- -
828,090 822,035
- -
3,545 5,065
109,865 44,703
- -
61,405 60,764","31-Mar-23
Kshs 000
Un-audited"
"7,012,428",,"1,355,093",,-,,"30,475,370"
"28,587,984",,"5,890,587",,-,,"34,478,571"
-,,-,,-,,-
-,,-,,-,,-
,,-,,,,
"126,338,375",,"24,382,348",,-,,"151,179,265"
-,,"303,831",,-,,"31,263,261"
"77,326,775",,"22,827,274",,-,,"100,922,453"
"2,126,118",,-,,-,,"14,353,641"
"2,252,893",,"1,650,663",,"622,880",,"3,904,315"
"7,198,603",,"4,937,748",,-,,"185,575,950"
-,,-,,"90,291",,-
"654,659,988",,"74,668,415",,-,,"928,824,144"
"7,624,757",,"28,406",,"1,312,658",,-
"446,875",,"727,492",,-,,"1,174,367"
-,,"24,963",,"114,270,238",,-
-,,-,,-,,-
"12,600,607",,-,,-,,"12,600,607"
"10,937,588",,"2,023,957",,"824,217",,"31,032,505"
"116,403",,-,,-,,"121,683"
"3,129,802",,"431,274",,"3,039",,"22,328,404"
"21,093,450",,"4,595,976",,"109,865",,"27,070,553"
-,,-,,-,,-
"34,091,236",,"7,725,036",,"88,257",,"55,298,733"
"995,543,882","971,352,761 858,479,952","151,573,063","142,769,274 140,499,545","117,321,445","116,075,096 92,496,891","1,630,603,822"
