2020,Column,Column,2019,Column,Column
"Leasehold
premises","Leased
motor
vehicles",Totals,"Leasehold
premises","Leased
motor
vehicles",Totals
KShs. Million,KShs. Million,KShs. Million,KShs. Million,KShs. Million,KShs. Million
"9,325","1,294","10,619",,,
-,-,-,,,
-,-,-,,,
132,-,132,,,
(191),-,(191),,,
(815),-,(815),,,
(45),-,(45),,,
169,2,171,,,
"8,575","1,296","9,871",,,
"(3,127)",(208),"(3,335)",,,
-,-,-,,,
191,-,191,,,
(986),(215),"(1,201)",,,
-,-,-,,,
1,-,1,,,
(67),(1),(68),,,
"(3,988)",(424),"(4,412)",,,
"4,587",872,"5,459",,,
