Class of ûnancial instrument,Financial statement line,Note
Loans and advances to banks at amortised cost,Loans and advances to other banks,Note 22
Loans and advances to customers at amortised cost,Loans and advances to customers,Note 26
Debt investment securities at amortised cost,Financial assets at amortised costs,Note 27
Debt investment securities at FVTOCI,Financial assets at FVOCI,Note 23
Loan commitments and ûnancial guarantee contracts,None as they are off balance sheet,Note 4
Other ûnancial assets,Other ûnancial assets,Note 4
