"7,564",287,657,"8,508"
243,(214),(29),-
(835),900,(65),-
(656),(25),681,-
"5,738",882,93,"6,713"
"6,611",500,-,"7,111"
"(3,118)",(222),(382),"3,722"
"15,547","2,108",955,"18,610"
