KShs Millions,Column,"ACTUAL
Sep -15","ACTUAL
Sep -14","Y-o-Y %
Change"
Int,erest Income,"39,664","34,231",16%
Int,erest Expense,"11,305","8,404",35%
Ne,t interest income,"28,359","25,827",10%
Fo,reign exchange income,"2,927","3,212",(9%)
Fe,es and commissions,"10,324","9,080",14%
Ot,her income,"4,083","4,638",(12%)
To,tal operating income,"45,692","42,758",7%
Lo,an loss provision,"3,852","4,444",(13%)
St,aff costs,"11,120","10,455",6%
Ot,her operating expenses,"11,325","10,161",11%
To,tal Cost,"26,297","25,060",5%
Pr,ofit before tax,"19,395","17,698",10%
Ta,x,"(5,819)","(5,309)",10%
Pr,ofit after tax,"13,577","12,388",10%
,20,,,
