"2012
KShS’000","2011
KShS’000"
"12,203,531","10,981,046"
"97,273
1,898,331","(193,666)
(2,208,502)"
"1,995,604","(2,402,168)"
"14,199,135","8,578,878"
"14,199,135
-","8,578,878
-"
"14,199,135","8,578,878"
