"Financial
Stability
Financial performance
Profitability
Responsible lending
Sustainable banking
products and services
Product and service
marketing
Economic Development","Economic
Sustainability
Risk Management and lending
policies
Mission, Vision and Purpose
Governance
Lending portfolio
Sustainable savings (efficiency
and cost control)
Economic Empowerment of the
poor","Social
Sustainability
Community Health and
well being
Corporate Social
Investment
Humanitarian
Intervention
Education and training
Employment practises","Environmental
Sustainability
Energy Efficiency
Environmentally
conscious products and
services
Waste Management
Water Management
Supply Chain
Business Travel"
"Sustainability Capability Development
Developing the policies, processes and tools, skills and capabilities to achieve KCB's sustainability and business objectives",,,
"Stakeholder Management, Partnerships and Communications
Building trust, brand and reputation through effective stakeholder engagement and thought leadership on sustainability",,,
