KCB KENYA BANK,Column,Column,Column,Column,NATIONAL BANK OF KENYA,Column,Column,Column,Column,KCB GROUP PLC COMPANY,Column,Column,Column,Column,KCB GROUP PLC CONSOLIDATED,Column,Column,Column,Column
"30-Sep-23
Kshs 000
Un-audited","30-Jun-23
Kshs 000
Un-audited","31-Mar-23
Kshs 000
Un-audited","31-Dec-22
Kshs 000
Audited","30-Sep-22
Kshs 000
Un-audited","30-Sep-23
Kshs 000
Un-audited","30-Jun-23
Kshs 000
Un-audited","31-Mar-23
Kshs 000
Un-audited","31-Dec-22
Kshs 000
Audited","30-Sep-22
Kshs 000
Un-audited","30-Sep-23
Kshs 000
Un-audited","30-Jun-23
Kshs 000
Un-audited","31-Mar-23
Kshs 000
Un-audited","31-Dec-22
Kshs 000
Audited","30-Sep-22
Kshs 000
Un-audited","30-Sep-23
Kshs 000
Un-audited","30-Jun-23
Kshs 000
Un-audited","31-Mar-23
Kshs 000
Un-audited","31-Dec-22
Kshs 000
Audited","30-Sep-22
Kshs 000
Un-audited"
,"8,559,788 7,012,428 10,332,230 7,459,197
28,367,249 28,587,984 32,017,676 52,551,406
- - - 98,115
- - - -
141,109,708 126,338,375 126,184,144 111,265,537
- - - -
129,622,651 77,326,775 77,640,039 78,335,701
1,961,923 2,126,118 2,065,406 2,126,796
10,628,742 2,252,893 1,700,652 15,005,195
111,734,297 7,198,603 23,430,225 10,544,530
224,335 - 2,306,005 2,102,568
667,988,740 654,659,988 613,892,181 581,042,662
8,887,593 7,624,757 10,228,308 6,823,459
512,639 446,875 446,875 421,889
- - - -
- - - -
12,600,607 12,600,607 12,600,607 12,600,607
10,951,552 10,937,588 9,812,222 9,920,318
115,779 116,403 117,027 117,651
3,154,330 3,129,802 3,439,459 3,593,161
23,795,094 21,093,450 20,130,483 19,127,279
- - - -
21,444,316 34,091,236 25,009,222 26,462,554",,,,,"1,292,440 1,355,093 1,432,365 1,472,320
3,678,269 5,890,587 3,806,747 4,239,958
- - - -
- - - -
23,995,864 24,382,348 24,564,568 25,840,186
294,984 303,831 295,081 303,928
24,341,103 22,827,274 23,831,380 20,354,561
- - - -
3,802,703 1,650,663 1,722,415 2,852,761
1,229,957 4,937,748 856,588 947,000
269,959 - 35,633 218,841
77,207,413 74,668,415 71,188,674 69,876,593
30,491 28,406 20,504 -
811,184 727,492 630,147 529,297
5,000 24,963 24,963 24,963
- - - -
- - - -
1,826,355 2,023,957 2,107,445 2,599,615
- - - -
373,115 431,274 413,519 434,941
5,509,119 4,595,976 4,423,855 4,077,300
- - - -
6,948,440 7,725,036 7,415,390 6,166,549",,,,,"- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
622,880 622,880 711,662
243,149 - -
91,699 90,291 90,291
- - -
1,970,336 1,312,658 -
- - -
114,270,238 114,270,238 114,270,238
- - -
- - -
827,559 824,217 828,090
- - -
2,527 3,039 3,545
105,699 109,865 109,865
- - -
90,207 88,257 61,405",,,,,,,,
"7,373,310",,,,,"1,239,511",,,,,-,,,,-,"32,939,940",,,,
"66,799,920",,,,,"4,257,299",,,,,-,,,,-,"71,057,219",,,,
-,,,,,-,,,,,-,,,,-,-,,,,
-,,,,,-,,,,,-,,,,-,-,,,,
"141,940,670",,,,,"23,659,750",,,,,-,,,,-,"166,058,962",,,,
-,,,,,"303,928",,,,,-,,,,-,"28,503,724",,,,
"138,124,324",,,,,"20,626,460",,,,,-,,,,-,"159,519,188",,,,
"2,024,344",,,,,-,,,,,-,,,,-,"17,191,670",,,,
"9,673,506",,,,,"3,782,616",,,,,"886,042",,,,-,"13,456,122",,,,
"216,671,949",,,,,"2,209,170",,,,,-,,,,-,"412,579,093",,,,
"6,539,987",,,,,"282,051",,,,,"106,753",,,,"105,345","5,951,279",,,,
"729,343,022",,,,,"78,230,564",,,,,-,,,,-,"1,047,865,745",,,,
"11,266,313",,,,,"23,032",,,,,"5,859,898",,,,-,-,,,,
"512,639",,,,,"830,456",,,,,-,,,,-,"1,343,095",,,,
-,,,,,"5,000",,,,,"114,280,238",,,,"89,158,501",-,,,,
-,,,,,-,,,,,-,,,,-,-,,,,
"12,600,607",,,,,-,,,,,-,,,,-,"12,600,607",,,,
"12,138,195",,,,,"1,700,459",,,,,"838,726",,,,"821,620","32,278,500",,,,
"115,155",,,,,-,,,,,-,,,,-,"120,418",,,,
"2,827,162",,,,,"429,154",,,,,"2,009",,,,"4,052","18,011,142",,,,
"19,813,956",,,,,"6,652,756",,,,,"42,250",,,,"46,417","28,929,265",,,,
-,,,,,-,,,,,-,,,,-,-,,,,
"29,129,007",,,,,"6,874,883",,,,,"53,574",,,,"51,000","51,135,179",,,,
"1,406,894,066","1,181,659,343 995,543,882 971,352,761 939,598,625",,,,"151,107,089","151,616,396 151,573,063 142,769,274 139,938,813",,,,"122,069,490","118,224,294 117,321,445 116,075,096",,,"90,186,935","2,099,541,148",,,,
