KShs Millions,KCB BANK KENYA,Column,Column,KCB GROUP,Column,Column
,"Actual
Sep - 16","Actual
Sep - 15","Y-O-Y
Change","Actual
Sep - 16","Actual
Sep - 15","Y-O-Y
Change"
Cash,"6,535","6,914",(5%),"10,435","16,269",(36%)
Balances with Central Bank,"16,710","17,908",(7%),"16,710","17,908",(7%)
Balances with other institutions,"9,087","8,286",10%,"45,605","97,124",(53%)
"Investments in Government & Other
securities","89,104","68,446",30%,"100,814","100,059",1%
Net loans and advances,"332,283","309,091",8%,"364,525","347,650",5%
Fixed assets,"9,032","7,336",23%,"12,052","11,022",9%
Other assets,"17,477","27,794",(37%),"19,960","17,219",16%
Total Assets,"480,228","445,776",8%,"570,101","607,252",(6%)
Customer Deposits,"372,612","326,866",14%,"436,816","471,055",(7%)
Balances due to other banks,"4,936","15,326",(68%),"12,054","19,145",(37%)
Other liabilities,"8,835","6,979",27%,"13,297","12,715",5%
Long-term debt,"14,733","20,798",(29%),"15,968","22,507",(29%)
Total Liabilities,"401,115","369,969",8%,"478,135","525,423",(9%)
Shareholders’ Equity,"79,113","75,806",4%,"91,966","81,829",12%
Total Liabilities and Equity,"480,228","445,776",8%,"570,101","607,252",(6%)
