"2021
KShs million","2020
KShs million"
"37,032","21,813"
191,-
331,-
158,"16,376"
203,-
"1,794","1,952"
"(3,077)","(2,787)"
"(1,814)",(922)
"1,154",600
529,"15,219"
"37,561","37,032"
