Column,Classification Under IAS 39,"Classification Under
IFRS 9","Original Carrying
Amount","New Carrying
Amount"
Note,,,Millions,Millions
22,Loans & Receivables,Amortised Cost,888,
24,Available For Sale,FVOCI,53,
26,Loans & Receivables,Amortised Cost,20,
38,Loans & Receivables,Amortised Cost,"8,569",
34,Amortised Cost,Amortised Cost,"1,267",
38,Amortised Cost,Amortised Cost,70,
39,Amortised Cost,Amortised Cost,"7,755",
