"KENYA COMMERCIAL BANK GROUP
AUDITED RESULTS FOR THE PERIOD ENDED 31 DECEMBER 2011",Column,Column,Column,Column
,GROUP,,BANK,
"I BALANCE SHEET
1ASSETS
1.1Cash ( both Local & Foreign)
1.2Balances due from Central Bank of Kenya
1.3Kenya Government securities
1.4Foreign Currency Treasury Bills & Bonds
1.5Deposits and balances due from local banking institutions
1.6Deposits and balances due from banking institutions abroad
1.7Kenya Government and other securities held for dealing purposes
1.8Tax recoverable
1.9Loans and advances to customers (net)
1.10Investment securities
1.11Balances due from group companies
1.12Investments in associates
1.13Investments in subsidiary companies
1.14Investments in joint ventures
1.15Investment properties
1.16Property and equipment
1.17Prepaid lease rentals
1.18Intangible assets
1.19Deferred tax asset
1.20Retirement benefit asset
1.21Other assets
1.22TOTAL ASSETS
2LIABILITIES
2.1Balances due to Central Bank of Kenya
2.2Customer deposits
2.3Deposits and balances due to local banking institutions
2.4Deposits and balances due to foreign banking institutions
2.5Other money market deposits
2.6Borrowed funds
2.7Balances due to group companies
2.8Tax payable
2.9Dividends payable
2.10Deferred tax liability
2.11Retirement benefit liability
2.12Other liabilities
2.13TOTAL LIABILITIES
3SHAREHOLDERS' FUNDS
3.1Paid up /Assigned capital
3.2Share premium
3.3Revaluation reserves
3.4Retained earnings
3.5Statutory loan reserves
3.6Proposed dividends
3.7Capital grants
3.8TOTAL SHAREHOLDERS' FUNDS
3.10TOTAL LIABILITIES AND SHAREHOLDERS' FUNDS","31-Dec-10
Kshs 000
Audited","31-Dec-11
Kshs 000
Audited","31-Dec-10
Kshs 000
Audited","31-Dec-11
Kshs 000
Audited"
,"1 8,979,288
8 ,018,535
4 2,051,335
1 ,346,799
2 ,880,000
7 ,331,008
8 47,876
1 1,009
1 48,113,364
5 ,862,488
-
-
-
-
-
8 ,271,647
1 45,893
1 ,368,385
1 ,126,284
-
5 ,002,289","31,152,176
11,555,840
34,023,364
2 ,408,833
7 ,874,875
17,937,209
3 67,938
20,557
1 98,724,919
9 ,204,501
-
-
-
-
-
8 ,017,595
1 47,801
1 ,516,684
1 ,055,476
-
6 ,708,391","5 ,777,976
8 ,018,535
42,051,335
-
2,880,000
1 ,079,963
847,876
-
137,344,568
5,862,488
-
125
6,769,498
-
-
5,888,285
143,644
1,319,367
8 55,115
-
4,185,781","8,582,793
11,555,840
34,023,362
-
7,874,875
9,774,005
367,938
9,418
179,843,987
9,204,501
-
125
8,624,404
-
-
5,624,766
142,818
1,476,594
606,328
-
4,781,799"
,"2 51,356,200","3 30,716,159","223,024,556","282,493,553"
,"1 ,499,595
1 96,974,651
8 ,025,637
1 ,531,735
-
-
-
1 ,837,722
-
1 21
-
2 ,356,968","-
2 59,308,849
9 ,359,286
4 ,745,863
-
8,525,000
-
1 19,372
-
-
-
4 ,292,762","1,499,595
163,188,681
8,025,637
1,282,069
-
-
4,638,052
1,750,345
-
-
-
1,763,732","-
210,173,514
9,359,286
2,143,285
-
8,525,000
5,519,607
-
-
-
-
1,610,203"
,"212,226,429","2 86,351,132","182,148,111","237,330,895"
,"2 ,950,260
1 8,565,504
( 172,625)
1 3,953,178
1 45,629
3 ,687,825
-","2 ,968,746
18,891,221
(2,574,793)
17,721,580
1,866,093
5 ,492,180
-","2,950,260
18,565,504
2 25,356
15,388,072
5 9,428
3,687,825
-","2,968,746
18,891,221
(1,983,146)
18,276,521
1,517,136
5,492,180
-"
,"3 9,129,771","44,365,027","40,876,445","45,162,658"
,"2 51,356,200","3 30,716,159","223,024,556","282,493,553"
- -,,,- -,
