"2015 2014
Carrying 1% 1% Carrying 1% 1%
GROUP amount Increase Decrease amount Increase Decrease",Column,Column,Column,Column
,"Carrying
amount","1%
Increase","1%
Decrease","Carrying 1% 1%
amount Increase Decrease"
"Cash and balances with Central Banks 68,219 - - 71,459 - -
Loans and advances to banks 20,287 (203) 203 13,178 (132) 132
Financial assets held for trading 806 (8) 8 1,116 (11) 11
Financial assets available-for-sale 38,297 (383) 383 37,194 (372) 372
Clearing house 892 (9) 9 636 (6) 6
Other assets and prepayments 10,166 (102) 102 9,205 (92) 92
Loans and advances to customers
(Net) 345,969 (3,460) 3,460 283,732 (2,837) 2,837
Financial assets held to maturity 57,845 (578) 578 58,888 (589) 589
542,481 - - 475,408 - -
LIABILITIES & EQUITY
Deposits from banks 23,138 231 (231) 14,296 143 (143)
Deposits from customers 424,391 4,244 (4,244) 377,272 3,773 (3,773)
Bills payable 1,527 - - 1,549 - -
Other liabilities and accrued expenses 7,240 - - 8,722 - -
Deferred tax liability 100 - - - - -
Tax payable 314 - - 132 - -
Borrowings 20,130 201 ( 201) 12,735 127 ( 127)
476,840 - - 414,706 - -
Net interest income Increase/
(decrease) - (66) 66 - 4 (4)
Tax Charge @ 30% - 20 (20) - (1) 1
Impact on profit after tax - (46) 46 - 3 (3)","68,219",-,-,
,"20,287",(203),203,
,806,(8),8,
,"38,297",(383),383,
,892,(9),9,
,"10,166",(102),102,
,"345,969","(3,460)","3,460",
,"57,845",(578),578,
,"542,481",-,-,
,"23,138",231,(231),
,"424,391","4,244","(4,244)",
,"1,527",-,-,
,"7,240",-,-,
,100,-,-,
,314,-,-,
,"20,130",201,( 201),
,"476,840",-,-,
,-,(66),66,
,-,20,(20),
,-,(46),46,
