"2013
KShs.‘000","2012
KShs.‘000"
"36,089,074
(7,088,483)","38,898,300
(11,104,140)
27,794,160
6,804,493
(524,460)
6,280,033
1,681,984
13,709
637,658
36,407,544
(1,610,710)
(9,781,045)
(1,777,457)
(7,482,441)
15,755,891
(4,666,052)
11,089,839
11,089,839
3.74"
"29,000,591",
"7,181,783
(553,565)",
"6,628,218",
"1,684,575
12,009
882,512",
"38,207,905
(247,237)
(11,077,167)
(1,833,873)
(7,303,437)",
"17,746,191
(5,319,517)",
"12,426,674",
"12,426,674",
4.18,
