2025,1-Jan-25,"Net change in monetary
items",31-Dec-25
,Ksh million,Ksh million,Ksh million
,"1,861","2,564","4,425"
,186,(130),56
,"6,581",734,"7,315"
,235,81,316
,"7,698","3,341","11,039"
,232,81,313
,"(12,651)","(4,739)","(17,390)"
,(38),(40),(78)
,(34),(842),(876)
,(284),(30),(314)
,(105),(7),(112)
,(627),(412),"(1,039)"
,"3,054",601,"3,655"
,"3,516",693,"4,209"
,(462),(92),(554)
