"6,926,723","5,015,950","5,400,967","4,217,657"
"7,144,078","5,973,000","6,099,659","5,307,420"
-,,-,
"36,484","29,545","22,746","24,113"
"67,663","78,682","67,663","78,682"
"1,078,012","794,484","871,392","704,617"
"303,966","97,552","303,966","97,285"
"2,065","1,797","2,030","1,430"
"16,500","15,160","8,950","8,800"
"15,575,491","12,006,170","12,777,373","10,440,004"
"(617,789)","(731,726)","(594,646)","(809,744)"
"2,866,449","2,070,918","2,533,643","1,915,423"
"(1,652,425)","(1,941,245)","(1,358,133)","(1,685,269)"
"6,052",1,-,-
"2,503","(8,664)",-,"(3,538)"
"(7,521)",-,-,-
"(198,260)","(7,073)","(85,961)","(11,518)"
"399,009","(617,789)","494,903","(594,646)"
"509,370","123,966","494,903",-
"(110,361)","(741,755)",-,"(594,646)"
"399,009","(617,789)","494,903","(594,646)"
"(150,943)","(94,730)","(151,286)","(93,184)"
"164,467","665,631","139,061","595,705"
"81,393","90,584",-,-
"94,917","661,485","(12,225)","502,521"
"107,280","661,485",-,"502,521"
"(12,363)",-,"(12,225)",-
"94,917","661,485","(12,225)","502,521"
