Column,Director,Board,Committees,Column,Column,Column,Column,Column
,,,ksiR,tiduA,"& ygetartS
ecnaniF","& noitanimoN
RH","& noitavonnI
TI","niahC
ylppuS"
1.,Ngeny Biwott,"Chairman
Non-Executive
Independent",,,,,,
2.,"Henry Rotich
(Alternate - Julius Mutua)",Non-Executive*,P(C),,,P,P,
3.,Charity Muya-Ngaruiya,"Non-Executive
Independent",P,P(C),P,P,,
4.,Adil Khawaja,"Non-Executive
Independent",P,,P,,,
5.,Gen. (Rtd.) Joseph Kibwana,"Non-Executive
Independent",,P,P,,,P
6.,Catherine Kola,"Non-Executive
Independent",,,P,,P,
7.,Tom Ipomai,"Non-Executive
Independent",,,,P(C),P,P
8.,Georgina Malombe,"Non-Executive
Independent",P,P,,,P(C),P
9.,John Nyerere,"Non-Executive
Independent",P,P,P,P,,P(C)
10.,Joshua Oigara,Chief Executive Officer,P,,P,P,P,
11.,Lawrence Kimathi,Chief Financial Officer,,,P(A),,,
