Column,"AUDITED
Dec 2011","Un-Audited
Jun 2011","Un-Audited
Jun 2012","%
Change"
Net interest income,"23,286","10,533","14,310",36%
Foreign exchange income,"3,608","1,359","1,907",40%
Fees and commissions,"9,185","4,238","4,632",9%
Other income,881,274,319,16%
Total operating income,"36,960","16,404","21,168",29%
Total operating expenses,"(22,283)","(10,294)","(11,949)",(16%)
Profit before provisions & tax,"14,677","6,110","9,219",51%
Provisions for bad debts,"(1,897)",(840),"(1,447)",(72%)
Bad debts recovered,"2,349",469,732,56%
Profit before tax,"15,129","5,739","8,504",48%
Tax,"(4,148)","(1,681)","(2,418)",(44%)
Profit after tax,"10,981","4,058","6,086",50%
Earnings per share,3.72,1.38,2.05,
