Shares Range,Number of Shareholders,Number of Shares,% of Issued Shared Capital
"1 to 5,000","132,955","233,120,252",7.90
"5,001 to 50,000","32,910","344,989,808",11.69
"50,001 to 100,000",989,"68,393,642",2.32
"100,001 to 1,000,000",913,"263,407,283",8.93
"1,000,001 to 10,000,000",206,"632,996,777",21.46
"10,000,001 & above",35,"1,407,352,056",47.70
,"168,008","2,950,259,818",100.00
