NAME,"DATE OF
APPOINTMENT",AREAS OF EXPERTISE,GENDER,"NON-EXECUTIVE/
EXECUTIVE",INDEPENDENCE
,4 June 2018,"Business management, corporate
governance.",Male,"Non-executive
Chairman",
"C. S. National
Treasury (Alternate -
Geoffrey Malombe)",Institutional,"Financial services, public sector.",Male,Non-executive,"Non-
independent"
,7 August 2018,"Business strategy, finance, audit and
accounting.",Male,Non-executive,
Ahmed Mahmoud,16 July 2020,"Corporate and commercial law,
financing transactions and Islamic
finance.",Male,Non-executive,Independent
,6 October 2020,"Public administration, public finance
and budgeting, governance, policy
development",Male,Non-executive,
Alice Kirenge,"10 November
2021","Strategic marketing, customer service,
insurance and financial services.",Female,Non-executive,Independent
,16 August 2022,"Banking, business advisory and
management, finance and financial
advisory",Female,Non-executive,
Dr. Joseph Kinyua,24 March 2023,"Public administration, economics,
financial services and corporate
governance",Male,Non-executive,Independent
,25 May 2022,"Business advisory and management,
strategy development, financial
accounting and financial advisory.",Male,"Group Chief
Executive Officer",
Lawrence Kimathi,1 May 2015,"Financial advisory, financial accounting,
business management",Male,"Group Finance
Director","Non-
independent"
