KShs Mn.,ACTUALSEP 2014,ACTUALSEP 2013,Y-o-Y % Change,ACTUAL DEC 2013
Net interest income,"25,827","24,274",6%,"32,984"
Foreign exchange income,"3,212","2,678",20%,"3,710"
Gross fees and commissions,"9,080","7,566",20%,"10,501"
Other income,"1,120",708,58%,"1,005"
Total operating income,"39,239","35,226",9%,"48,200"
Total operating expenses,"-20,616","-19,524",6%,"(27,080)"
Net provisions for bad debts,-925,-533,74%,(996)
Profit before tax,"17,698","15,169",17%,"20,124"
Tax,"-5,215","-4,353",20%,"(5,782)"
Profit after tax,"12,483","10,816",15%,"14,342"
