"2012
KShs‘000","2011
KShs‘000"
"36,419,912
10,421,565
2,923,263
15,916,877
7,025,103
211,664,226
70,451,164
10,598
8,895,573
1,173,945
146,941
2,330,118","42,708,016
25,812,084
367,938
9,204,501
6,708,391
198,724,919
36,432,197
20,557
8,017,595
1,516,684
147,801
1,055,476"
"367,379,285","330,716,159"
"9,333,589
288,037,367
3,431,649
2,500,723
1,813,086
8,923,312","14,105,149
259,308,849
3,888,790
403,972
119,372
8,525,000"
"314,039,726","286,351,132"
"2,970,340
44,725,573
5,643,646","2,968,746
35,904,101
5,492,180"
"53,339,559","44,365,027"
"367,379,285","330,716,159"
