Performance Ratio,Q4 2012,Q1 2013,Column,Q2 2013,Q3 2013,Q4 2013,Q1 2014,"Q1 2014
Group"
Profitability Ratios,,,,,,,,
Return on Total Assets,3.8%,,3.3%,4.2%,4.1%,4.0%,4.1%,3.9%
Return on Equity,22.6%,,19.0%,23.5%,23.0%,21.6%,21.5%,24.0%
Efficiency Ratios,,,,,,,,
Cost to Income,53.0%,,50.6%,47.4%,48.5%,53.1%,46.6%,49.1%
Staff Cost to Income,,,,,,,,
Performance Ratios,,,,,,,,
Yield on Net Advances,17.0%,,14.7%,14.8%,14.5%,14.7%,14.4%,14.3%
"Yield on Money
Markets",13.9%,,12.4%,15.0%,13.5%,12.0%,11.4%,10.4%
"Yield on Interest
Earning Assets",16.3%,,14.2%,14.9%,14.3%,13.8%,13.8%,12.8%
Cost of Funding,4.7%,,3.3%,3.1%,2.8%,2.7%,3.3%,3.0%
Net Interest Margin,,,,,,,,9.9%
