Title,Effective date,Key requirements
"Amendment to IFRS
16 3 Leases on sale
and leaseback","Annual periods beginning
on or after 1 January 2024
(Published September
2022)","These amendments include requirements for sale and leaseback transactions
in IFRS 16 to explain how an entity accounts for a sale and leaseback after the
date of the transaction. Sale and leaseback transactions where some or all
the lease payments are variable lease payments that do not depend on an
index or rate are most likely to be impacted."
"Amendments to
IAS 1 - Non-current
liabilities with
covenants","Annual periods beginning
on or after 1 January 2024
(Published January 2020
and November 2022)","These amendments clarify how conditions with which an entity must comply
within twelve months after the reporting period affect the classiûcation of a
liability. The amendments also aim to improve information an entity provides
related to liabilities subject to these conditions."
"Amendments to
Supplier Finance
Arrangements (IAS 7
and IFRS 7)","Annual periods beginning
on or after 1 January 2024
(Published May 2023)","These amendments require disclosures to enhance the transparency of
supplier ûnance arrangements and their effects on a company9s liabilities,
cash ûows and exposure to liquidity risk. The disclosure requirements are the
IASB9s response to investors9 concerns that some companies9 supplier ûnance
arrangements are not sufûciently visible, hindering investors9 analysis."
