COUNTRY: UGANDA,Column,Column,Column
"Date of
change",Legislation,Change,Impact to KCB
"August
2024","The Registration
of Persons
(Amendment)
Regulations, 2024.",""" The Regulations adjust the validity time of
National Identiûcation cards by amending
Regulation 19 of the Registration of Persons
Regulations by providing that a national
identiûcation card shall be valid for eleven years
from the date of issue and shall be renewable in
accordance with these Regulations9
"" Initially, a national ID that was issued on 1 January
2015 ought to expire on 1 January 2025, given the
10-year validity period provided for under the old
Regulations",""" The Bank ought to accept customers
expired National IDs with a ten (10) year
validity period if they are being presented
within 11 years from the date of issue or 1
year from the date of expiry.
"" Customers who present National IDs
on dates that are beyond the 11 years
provided for under the amendment must
be advised to renew them before being
attended to."
"September
2024","The Non-
Government
Organizations
(Amendment) Act,
2024",""" The National Bureau of Non-Governmental
Organizations (NGO Bureau) that had been
previously responsible for registering and
overseeing NGOs was replaced with the Ministry
of Internal Affairs.",""" All licenses, permits, certiûcates,
authorizations and certiûed documents
of NGOs presented to the Bank after 29
September 2024 should originate from the
Ministry of Internal Affairs.
"" The Bank should look out for the date of
issue and the body which issued such
license, permit, certiûcate, authorizations
and certiûed documents."
"September
2024","The Financial
Institutions
(Corporate
Governance)
Regulations, 2024.",""" Revokes the Financial (Corporate Governance)
Regulations of 2005.
"" Generally, it provides for the structure of
ûnancial institution, the roles and the regulatory
requirements.",""" KCB Bank Uganda shall ensure compliance
with the corporate governance regulations
2024."
"October
2024","URA PUBLIC
NOTICE.","Section 16(5) of the Tax Procedure Code Act:
Any person with an annual turnover of UGX
500,000,000/= (Ugandan Shillings Five Hundred
Million Only) or more to submit their annual
income tax return with a copy of audited ûnancial
statements prepared by a registered member of
the Institute of Certiûed Public Accountants of
Uganda effective 1 September 2024.",""" The Bank should furnish its audited ûnancial
statements prepared by a registered
member of the Institute of Certiûed Public
Accountants of Uganda while furnishing its
tax returns to URA.
"" The Bank should enforce this requirement
as it is a way of determining a tax compliant
customer. The customer whose annual
turnover is UGX 500,000,000/= according
to his/her/its ûnancial statements must
provide proof of submitting the same
to URA.
"" The strict enforcement of this requirement
should commence after 30 December
2024 since it is when the obligation to ûle
tax returns for the year ended 31 June 2024
falls due."
