Column,Aug-18,Oct-18,Dec-18,Mar-19,Jun-19,Jul-19,Aug-19
Overall Private Sector Credit,4.3,4.4,2.4,4.3,5.2,6.1,6.3
Consumer durables,11.5,7.6,11.0,13.9,21.3,23.6,23.0
Private households,2.7,5.1,6.8,8.0,7.6,7.1,8.6
Trade,6.9,4.0,2.9,8.7,5.5,8.0,8.4
Manufacturing,13.2,14.8,6.5,7.2,11.4,10.3,7.5
Agriculture,-4.3,-5.6,-2.0,0.2,3.9,7.6,6.6
Finance and Insurance,3.5,9.1,17.5,10.2,4.7,5.3,6.3
Transport and Communication,-11.0,-7.7,-9.4,5.7,5.8,6.4,5.8
Real estate,0.9,1.2,-0.5,-0.1,1.0,0.5,2.4
Business services,6.5,12.1,8.0,-0.4,-3.2,1.6,1.0
Building and Construction,14.7,7.1,1.8,-7.0,-6.3,-5.4,-6.0
Mining and quarrying,-9.1,-11.6,-10.7,-11.4,-4.3,-13.5,-10.8
Other activities,-4.6,-12.4,-34.8,-31.7,-22.6,-17.2,-14.4
