2024,Column,Column,2023,Column,Column
Kshs million,1%,1%,Carrying,1%,1%
amount,Increase,Decrease,amount,Increase,Decrease
"114,420","1,144","(1,144)",,,
"168,352","1,684","(1,684)",,,
165310,"1,653","(1,653)",,,
"19,438",194,(194),,,
"224,147","2,241","(2,241)",,,
837,8,(8),,,
"31,311",313,(313),,,
"987,551","9,876","(9,876)",,,
"2,861",29,(29),,,
"1,714,227","17,142","(17,142)",,,
"43,017",(430),430,,,
"1,381,975","(13,820)","13,820",,,
"3,896",(39),39,,,
"36,476",(365),365,,,
"69,273",(693),693,,,
"1,534,637","(15,347)","15,346",,,
,"1,796","(1,796)",,,
,539,(539),,,
-,"1,257","(1,257)",,,
