"Freehold and
Lease
Premises","Leasehold
Improvements","Motor Vehicle,
Furniture and
Equipment",Total
"3,253","5,310","26,691","35,254"
818,-,(169),649
439,46,"2,939","3,424"
-,(48),(156),(204)
-,32,82,114
-,(85),(47),(132)
"4,510","5,255","29,340","39,105"
449,"3,377","18,297","22,123"
49,337,"2,022","2,408"
-,(26),(156),(182)
1,-,-,1
-,48,78,126
-,-,-,-
499,"3,736","20,241","24,476"
"4,011","1,519","9,099","14,629"
