Name of Director,Number of Shares,%Shareholding
Permanent Secretary to the Treasury of Kenya,"523,600,000",17.75
Peter Wanyaga Muthoka,"244,994",0.01
Mrs. Catherine Ngima Kimura,"86,958",0.00
Standard Chartered Nominees A/C 9688 (Mr. Sunil Narshi Shah),"72,490,723",2.46
Mrs. Susan Nkirote Omanga,"3,110",0.00
Mr. Joseph Isaac Adongo,"21,210",0.00
Eng. Jeremiah Musa Ndeto,"45,985",0.00
Mrs. Catherine Adongo Kola,"25,540",0.00
