At 31 December 2014,Column,Column,At 31 December 2013,Column,Column
"Currency
Carrying
Amount","10%
Depreciation","10%
Appreciation","Currency
Carrying
Amount","10%
Depreciation","10%
Appreciation"
"51,543","(5,154)","5,154","43,441","(4,344)","4,344"
439,(44),44,504,(50),50
"3,020",(302),302,"5,483",(548),548
356,(36),36,458,(46),46
,"(5,536)","5,536",,"(4,988)","4,988"
"48,747","4,875","(4,875)","45,627","4,563","(4,563)"
430,43,(43),425,43,(43)
"4,182",418,(418),4977,498,(498)
200,20,(20),128,13,(13)
,"5,356","(5,356)",,"5,117","(5,117)"
,(180),180,,129,(129)
,(54),(54),,(39),(39)
,(126),126,,90,90
,0.8%,0.8%,,0.7%,0.7%
