Group Chairman,Chief Executive
"• Provide overall leadership to the
Board.
• Ensures that the board is
effective in its duties of setting
out and implementing the
Group’s strategy.
• Ensures Board committees
are properly structured with
appropriate terms of reference.
• Ensures directors receive
accurate, timely and clear
information.
• Ensures the development needs
of directors are identified and
that appropriate training is
provided to continuously update
their knowledge and skills.
• Manage, monitor and evaluate
the performance of the directors.
• Oversees and ensures there is
adequate succession planning.
• Maintains sound relationships
with shareholders and
stakeholders.","• Manage the day-to-day
operations of the organization.
• Effectively execute the
business strategy and plans
to deliver shareholder value
and ensure sustainability and
market share growth in line
with the policies set by the
Board.
• Builds, protects and enhances
the Group’s brand value.
• Consults with the Chairman
and Board on matters which
may have a material impact on
the Group.
• Acts as a liaison between the
Board and the management.
• Provides leadership and
direction to the senior
management."
The Board,Company Secretary
"• Contribute to the development of
the Group strategy.
• Analyse and monitor the
performance of management
against the set objectives.
• Ensure that the Group has in
place proper internal controls as
well as a robust system of risk
management.
• Ensure that financial information
released to the market and
shareholders is accurate.
• Actively participate in
Board decision-making and
constructively challenge
proposals presented by
Management.
• Remain permanently bound by
fiduciary duties and duties of
care and skill.","• Ensures compliance with
all relevant statutory and
regulatory requirements.
• Ensures good information
flows as well as provides
comprehensive practical
support to the directors.
• Facilitates proper induction
of directors and provides
guidance in terms of their
roles and responsibilities.
• Develops and circulates the
agenda for Board meetings
and ensure all relevant
information is made available
to the directors.
• Assists the Chairman in
governance processes
including Board evaluation."
