Board,Audit,Risk,"Finance &
strategy","HR &
Nominations","IT &
Innovation",Supply Chain
9,8,6,5,16,4,
9,,,,,,
9,,6,,16,4,
2,2,4,2,4,,
6,,3,2,,,
2,2,,2,,,
2,,,1,,2,
9,,,,16,4,
9,8,5,,,4,
9,8,6,5,16,,
4,2,1,1,,,
9,,6,5,9,2,
8,,,4(4),,,
