Name*,Number of Shares,Percentage Shareholding
,"30,700",0.00%
,"635,001,947",19.76%
,Nil,0.00%
,Nil,0.00%
,Nil,0.00%
,Nil,0.00%
,Nil,0.00%
,Nil,0.00%
,"103,800",0.00%
