2025,Corporate,Mortgages,Retail,Total
Loans and advances to customers,Ksh million,Ksh million,Ksh million,Ksh million
,"56,686","2,891","15,597","75,174"
,"14,690","1,691","11,664","28,045"
,(886),"(1,086)",(303),"(1,669)"
,"(4,860)",(213),"(9,150)","(14,223)"
,"(12,822)",(555),"8,439","(4,938)"
,"52,808","2,728","26,853","82,389"
,"6,625",752,"9,506","16,883"
,"1,471",(91),679,"2,059"
,"(1,226)",23,64,"(1,139)"
,"6,870",684,"10,249","17,803"
,"59,678","3,412","37,102","100,192"
