draoB,tiduA,tiderC,ksiR,"snoitanimoN
dna
RH",tnemerucorP,"dna
ecnaniF ygetarts","noitavonni
dna
TI"
8,5,23,4,8,5,4,
8,,,,,,,
7,,19,,3,,2,
8,5,,4,8,,4,
7,1,,3,5,2,3,
8,4,,,5,5,4,
8,,23,,,,1,
8,,23,,8,5,,
8,5,,4,,1,2,
8,,20,4,,3,4,
8,,13,3,8,2,4,
3,,,,,,,
