Director,Industry experience
Ngeny Biwott,"Strategy, Risk and crisis management"
"Henry Rotich (Represented by
Julius Mutua)","Financial services, Public sector"
Adil Khawaja,Legal and Commercial services and Advisory
Tom Ipomai,"Information Technology, Audit and
Accounting"
Georgina Malombe,"Audit, Quality Assurance, Accounting and
Financial advisory"
John Nyerere,Strategy and Economics
Josephine Djirackor,"Telecommunications and Information
Technology"
Joshua Oigara,"Business management, Financial accounting
and Financial Services"
Lawrence Kimathi,"Financial advisory, Financial accounting,
Business management"
