"Number of
Shareholders","Number of Shares
Held","% of Issued Share
Capital"
"158,942","861,289,454",29.01
"5,733","1,674,633,275",56.40
162,"1,721,355",0.06
35,"6,698,722",0.23
462,"8,270,685",0.28
114,"416,132,665",14.02
"165,448","2,968,746,156",100.00
