Non funded income growth,27.4%
NFI Ratio,34.3%
Cost/ Income ratio,44.9%
Operating expenses,10.9%
Cost of funds,2.7%
Cost of Risk,1.7%
NPL Ratio,10.0%
NIM,7.9%
Asset yield,10.6%
Loan growth,*15.1%
Deposit growth,*26.6%
ROA,3.4%
ROE,22.3%
