Committee,Core Areas of Focus,Column
Audit Committee,"• Financial reporting integrity
• Internal and external audit","• Financial controls
• Disclosure assurance (including ESG and climate reporting)"
"Risk & Compliance
Committee","• Group risk appetite, capital adequacy and stress testing
• ESG, Climate and sustainability risk oversight","• Compliance and regulatory affairs
• AML/CFT and conduct risk"
"Strategy & Oversight
Committee","• Group strategic planning and transformation initiatives
• Oversight of banking and non-banking subsidiaries (financial,
operational, governance)
• Review of major investments, partnerships, acquisitions and
capital deployment","• Strategic digital & innovation agenda
• ESG strategy and stakeholder engagement"
"People &
Remuneration
Committee","• Executive and staff remuneration frameworks
• Incentive alignment with long-term strategy and risk appetite
• Leadership development and talent pipeline","• Culture, conduct and ethics
• Inclusion of ESG metrics in incentive scorecards"
"Nominations
& Governance
Committee","• Board composition, succession and independence
• Board and committee evaluations
• Corporate governance policies and codes","• Board diversity, training and performance
• Governance disclosures and compliance with CMA/CBK
codes"
