III OTHER DISCLOSURES,Column,Column,Column,Column,Column,Column
III OTHER DISCLOSURES,,,,,,
"1 NON-PERFORMING LOANS AND ADVANCES
a) Gross Non-performing loans and advances
b) Less Interest in Suspense
c)Total Non-Performing Loans and Advances (a-b)
d) Less Loan Loss Provision
e) Net Non-Performing Loans and Advances(c-d)
f) Discounted Value of Securities
g) Net NPLs Exposure (e-f)
2 INSIDER LOANS AND ADVANCES
a) Directors, Shareholders and Associates
b) Employees
c)Total Insider Loans and Advances and other facilities
3 OFF-BALANCE SHEET ITEMS
a)Letters of credit,guarantees, acceptances
b) Forwards, swaps and options
c) Other contingent liabilities
d)Total Contingent Liabilities","31-Mar-13
Kshs 000
Un-Audited","31-Dec-13
Kshs 000
Audited","31-Mar-14
Kshs 000
Un-Audited","31-Mar-13
Kshs 000
Un-Audited","31-Dec-13
Kshs 000
Audited","31-Mar-14
Kshs 000
Un-Audited"
,"1 3,306,631
1 ,659,104","1 5,199,950
1 ,679,228","1 7,894,586
1 ,781,064","1 6,130,777
1 ,936,578","1 9,227,705
2 ,200,117","2 2,456,545
2 ,283,881"
,"1 1,647,527","1 3,520,722","1 6,113,522","1 4,194,199","1 7,027,588","2 0,172,664"
,"6 ,750,614","6 ,090,384","6 ,416,302","6 ,697,735","6 ,761,992","7 ,646,012"
,"4 ,896,913","7 ,430,338","9 ,697,220","7 ,496,464","1 0,265,596","1 2,526,652"
,"2 ,687,390","5 ,376,081","7 ,380,931","5 ,286,941","6 ,601,170","1 0,847,577"
,"2 ,209,523","2 ,054,257","2 ,316,289","2 ,209,523","3 ,664,426","1 ,679,075"
,"1 ,181,118
7 ,234,683","6 32,814
7 ,688,747","8 99,575
8 ,084,712","1 ,316,362
7 ,937,600","7 80,620
8 ,007,598","1 ,092,812
8 ,795,768"
,"8 ,415,801","8 ,321,561","8 ,984,287","9 ,253,962","8 ,788,218","9 ,888,581"
,"8 7,713,049
2 9,357,968
-","1 06,425,736
1 2,660,294
-","1 14,314,921
5 2,795,995","8 8,563,075
2 9,858,690
-","1 08,989,120
1 2,804,686
-","1 18,579,893
5 3,167,058
-"
,"1 17,071,017","1 19,086,030","1 67,110,916","1 18,421,765","1 21,793,806","1 71,746,951"
"4 CAPITAL STRENGTH
a)Core capital
b) Minimum Statutory Capital
c)Excess (a-b)
d) Supplementary Capital
e) Total Capital (a+d)
f)Total risk weighted assets
g) Core Capital/Total deposits Liabilities","43,112,606
1,000,000
4 2,112,606
2 ,799,884
4 5,912,490
1 96,100,079
19.2%","5 0,905,250
1 ,000,000
4 9,905,250
1 0,293,318
6 1,198,568
2 72,565,071
21.5%","51,590,372
1,000,000
5 0,590,372
1 0,289,227
6 1,879,599
2 86,801,171
20.9%",,,
h) Minimum statutory Ratio,10.5%,10.5%,10.5%,,,
"I) Excess
j) Core Capital / total risk weighted assets","8.7%
22.0%","11.0%
18.7%","10.4%
18.0%",,,
k) Minimum Statutory Ratio,10.5%,10.5%,10.5%,,,
"l) Excess (j-k)
m) Total Capital/total risk weighted assets","11.5%
23.4%","8.2%
22.5%","7.5%
21.6%",,,
n) Minimum statutory Ratio,14.5%,14.5%,14.5%,,,
"o) Excess (m-n)
5 LIQUIDITY
a) Liquidity Ratio
b) Minimum Statutory Ratio
c) Excess (a-b)","8.9%
37.1%
20.0%
17.1%","8.0%
33.3%
20.0%
13.3%","7.1%
38.0%
20.0%
18.0%",,,
