30-Sep-18,Column,30-Sep-18,Column,30-Sep-18
KShs 000,,KShs 000,,KShs 000
UnAudited,,UnAudited,,UnAudited
"6,024,219",,-,,"8,980,472"
"30,731,954",,-,,"30,731,954"
-,,-,,-
-,,-,,-
"24,305,043",,-,,"24,386,149"
"21,582",,-,,"16,806,597"
"75,961,902",,-,,"76,315,899"
"2,020,635",,"35,530",,"2,020,635"
"1,500,000",,"884,216",,"1,500,000"
"8,297,185",,-,,"38,007,005"
"25,642",,"35,535",,"156,790"
"398,439,198",,-,,"435,281,159"
"3,721,474",,"2,403,576",,-
-,,125,,-
-,,"67,648,950",,-
-,,-,,-
-,,-,,-
"7,442,909",,"570,167",,"10,431,294"
"130,135",,-,,"130,588"
"2,740,273",,-,,"2,958,302"
"9,527,444",,"5,700",,"10,432,170"
"1,018,000",,-,,"1,018,000"
"22,101,287",,"6,109",,"25,008,186"
"594,008,882","77,584,291 77,809,109 82,289,161 69,646,023","71,589,908","643,832,809 646,668,939 647,473,915 667,681,636","684,165,200"
,"- - - -
- - - -
- - - -
- - - -
- - - -
7,710,000 7,755,000 7,575,000 -
- 69,833 - 990,305
- - - -
- - - -
284,147 1,751 1,751 -
- - - -
1,133,936 1,266,666 136,135 15,499",,"4,989,950 - - -
496,305,024 499,549,179 496,366,083 524,938,523
1,886,310 4,120,966 4,509,997 70,194
8,615,084 6,917,784 5,012,077 8,499,695
- - - -
14,423,505 14,895,208 22,519,759 20,698,615
- - - -
95,517 265,629 2,864,073 2,593,263
- - - -
284,147 159,962 25,764 42,640
- - - -
14,040,271 14,794,338 16,542,684 11,854,815",
-,,-,,-
"472,041,280",,-,,"526,844,181"
"1,000,000",,-,,"1,000,000"
"2,215,855",,-,,"11,641,159"
-,,-,,-
"17,102,046",,-,,"20,725,174"
-,,-,,-
-,,-,,"167,850"
"3,066,057",,"3,066,057",,"3,066,057"
-,,-,,-
-,,-,,-
"12,035,833",,"23,973",,"15,259,083"
"507,461,071","9,128,083 9,093,250 7,712,886 1,005,804","3,090,030","540,639,808 540,703,066 547,840,437 568,697,745","578,703,503"
,"3,066,057 3,066,057 3,066,057 3,066,056
21,646,777 21,646,777 21,646,777 21,646,777
- (23,727) (30,092) (37,836)
40,677,317 37,894,638 43,761,419 40,899,166
- - - -
- - - -
3,066,057 6,132,114 6,132,114 3,066,057
- - -",,"3,066,057 3,066,057 3,066,057 3,066,057
21,646,777 21,646,777 21,646,777 21,646,777
154,565 134,217 237,988 124
62,987,371 63,394,145 67,312,103 69,905,510
11,957,874 11,208,263 854,138 915,066
314,300 384,300 384,300 384,300
3,066,057 6,132,114 6,132,114 3,066,057
- - - -",
"53,986,100",,"3,066,057",,"3,066,057"
-,,"21,646,777",,"21,646,777"
"815,636",,"(41,212)",,"576,994"
"31,361,775",,"43,828,256",,"79,121,882"
-,,-,,"665,687"
"384,300",,-,,"384,300"
-,,-,,-
-,,-,,-
"86,547,811","68,456,208 68,715,859 74,576,275 68,240,219","68,499,878","103,193,001 105,965,873 99,633,478 98,983,891","105,461,697"
-,- - - -,-,- - - -,-
"594,008,882","77,584,291 77,809,109 82,289,161 69,646,023","71,589,908","643,832,809 646,668,939 647,473,915 667,681,636","684,165,200"
,"420,231 579,817 146,107 302,821
- - -
3,668 - - 9,811
- - - -",,"37,096,698 50,818,258 12,577,876 25,645,200
9,252,715 12,365,068 3,010,746 6,333,016
415,001 489,770 79,759 241,402
- - - -",
"35,440,258",,"310,220",,"39,043,018"
"8,317,655",,-,,"9,708,517"
"335,887",,"15,225",,"418,772"
-,,-,,-
"44,093,800","423,899 579,817 146,107 312,631","325,445","46,764,414 63,673,096 15,668,381 32,219,618","49,170,307"
,"- - - -
394,091 527,240 135,603 283,059
- - -",,"9,901,835 13,615,312 3,801,100 7,316,332
1,189,514 1,673,011 440,948 757,822
- - - -",
"10,260,050",,-,,"11,282,875"
"889,670",,"283,059",,"1,582,567"
-,,-,,-
"11,149,720","394,091 527,240 135,603 283,059","283,059","11,091,349 15,288,323 4,242,048 8,074,154","12,865,442"
"32,944,080","29,808 52,577 10,504 29,573","42,386","35,673,065 48,384,773 11,426,333 24,145,464","36,304,865"
,"- - - -
- - - -
- 6,205 (17,449) (18,176)
9,177,645 12,416,780 5,938,471 9,198,171
88,067 116,475 25,195 62,272",,"4,812,162 5,595,408 1,396,882 3,078,034
6,419,434 9,099,026 2,225,304 3,697,558
3,631,784 4,665,498 1,032,393 2,823,695
8 362 - -
2,620,537 3,640,515 886,387 1,880,483",
"4,115,056",,-,,"4,431,879"
"4,416,921",,-,,"6,573,247"
"2,065,669",,"(18,176)",,"3,684,742"
-,,"9,198,171",,-
"3,001,473",,"81,508",,"3,251,875"
"13,599,119","9,265,712 12,539,460 5,946,217 9,242,267","9,261,503","17,483,925 23,000,809 5,540,966 11,479,770","17,941,743"
"46,543,199","9,295,520 12,592,037 5,956,721 9,271,840","9,303,889","53,156,990 71,385,582 16,967,299 35,625,234","54,246,608"
,"- - - -
114,796 45,953 11,478 25,498
79,663 42,719 8,873 15,428
- - - -
4,959 2,791 715 1,430
- - - -
186,414 211,981 71,858 92,729",,"3,136,905 5,914,321 600,297 827,684
13,803,517 19,146,769 4,451,595 8,599,757
172,014 397,324 48,438 94,055
1,146,845 1,520,172 337,462 668,798
1,256,501 1,707,172 478,264 915,705
788,756 1,082,508 296,056 590,075
10,434,926 12,503,115 3,271,018 6,833,934",
"1,689,189",,-,,"1,799,437"
"10,915,745",,"36,700",,"12,783,160"
"18,140",,"25,757",,"148,647"
"572,181",,-,,"1,032,450"
"1,217,169",,"2,173",,"1,490,236"
"729,745",,-,,"795,231"
"7,540,812",,"210,940",,"10,589,583"
"22,682,981","385,832 303,444 92,924 135,084","275,570","30,739,464 42,271,381 9,483,130 18,530,008","28,638,744"
"23,860,218","8,909,688 12,288,593 5,863,797 9,136,756","9,028,319","22,417,526 29,114,201 7,484,169 17,095,226","25,607,864"
-,- - - -,-,- - - -,-
"23,860,218","8,909,688 12,288,593 5,863,797 8,943,113","9,028,319","22,417,526 29,114,201 7,484,169 17,095,226","25,607,864"
"(7,873,780)","- (37,423) (7,559) (7,389)
(56,037) (1,751) (1,751) 7,305","(36,067)","(8,160,406) (10,142,554) (3,087,126) (5,528,864)
819,174 733,483 786,465 544,998","(8,326,108)"
"927,741",,"7,255",,"762,426"
"16,914,179","8,853,651 12,249,419 5,854,488 9,136,672","8,999,507","15,076,294 19,705,130 5,183,508 12,111,360","18,044,182"
-,- - - -,,- - - -,-
"16,914,179","8,853,651 12,249,419 5,854,488 8,943,029","8,999,507","15,076,294 19,705,130 5,183,508 12,111,360","18,044,182"
,"- - - -
- - - -
- - - -
- - - -
- - - -",,"2,065,520 (1,473,751) (51,209) 289,296
1,303,326 3,912,705 148,244 124
- 100,000 - -
- - - -
(390,998) (579,746) (44,473) (37)",
-,,-,,"(1,795,937)"
"1,196,787",,-,,"632,539"
-,,-,,-
-,,-,,-
"(359,036)",,-,,"(189,762)"
"837,751",- - - -,-,"2,977,848 1,959,208 52,562 289,383","(1,353,160)"
"17,751,930","8,853,651 12,249,419 5,854,488 8,943,029","8,999,507","18,054,142 21,664,338 5,236,070 12,400,743","16,691,022"
0.42,3.85 4.00 7.64 5.96,3.91,6.56 6.43 6.76 7.90,7.85
0.06,1.00 3.00 - 1.00,1.00,1.00 3.00 - 1.00,1.00
,,,"34,731,290 37,496,454 43,774,880 37,627,677
3,761,805 5,125,304 5,118,839 4,539,723",
"31,842,528",,,,"34,780,497"
"3,944,158",,,,"4,278,031"
"27,898,370",,,"30,969,484 32,371,150 38,656,041 33,087,955","30,502,466"
"15,489,017",,,"19,832,149 20,350,677 20,543,885 19,374,003","16,732,174"
"12,409,353",,,"11,137,335 12,020,472 18,112,156 13,713,951","13,770,292"
"11,286,303",,,"10,789,908 12,645,119 16,928,275 11,333,760","14,276,012"
"1,123,050",,,"347,427 (624,647) 1,183,880 2,380,191","(505,720)"
,,,"898,395 2,512,857 1,531,165 1,203,894
13,953,960 12,231,711 12,194,873 12,193,876",
"1,680,325",,,,"1,704,174"
"11,105,328",,,,"12,110,627"
"12,785,653",,,"14,852,355 14,744,567 13,726,039 13,397,770","13,814,801"
,,,"65,005,022 64,846,078 79,240,141 78,728,777
9,222,225 15,004,860 9,384,804 8,379,263
- - - -",
"65,548,070",,,,"72,529,879"
"19,582,546",,,,"21,127,817"
-,,,,-
"85,130,616",,,"74,227,246 79,850,938 88,624,945 87,108,039","93,657,695"
,,,"95,147,038 85,245,565 84,702,442 88,946,964
6,716,404 6,691,313 6,537,376 6,494,591",
"77,275,087",,,,"95,197,034"
"1,000,000",,,,"6,492,261"
"76,275,087",,,"88,430,634 78,554,252 78,165,066 82,452,373","88,704,773"
"7,567,500",,,"6,817,372 6,928,786 854,138 8,482,566
101,964,410 92,174,351 85,556,580 97,429,530
545,389,745 554,302,907 560,943,322 566,099,443
19.2% 17.1% 17.1% 16.9%
8.0% 8.0% 8.0% 8.0%","8,233,187"
"84,842,587",,,,"103,430,221"
"515,290,578",,,,"582,527,731"
16.4%,,,,18.1%
8.0%,,,,8.0%
8.4%,,,11.2% 9.1% 9.1% 8.9%,10.1%
15.0%,,,"17.4% 15.4% 15.1% 15.7%
10.5% 10.5% 10.5% 10.5%",16.3%
10.5%,,,,10.5%
4.5%,,,6.9% 4.9% 4.6% 5.2%,5.8%
16.5%,,,"18.7% 16.6% 15.3% 17.2%
14.5% 14.5% 14.5% 14.5%",17.8%
14.5%,,,,14.5%
2.0%,,,4.2% 2.1% 0.8% 2.7%,3.3%
17.9%,,,"18.0% 17.9%
15.9% 16.6%
16.1% 18.1%
37.7% 29.0% 33.9% 35.3%
20.0% 20.0% 20.0% 20.0%",19.5%
16.4%,,,,17.6%
17.9%,,,,19.0%
30.4%,,,,33.7%
20.0%,,,,20.0%
