Note,"2021
KShs million","2020
KShs million"
,"34,173","19,604"
47,(418),(167)
34,125,50
,(293),(117)
,(4),"(1,539)"
,(634),584
,(899),"3,119"
34,270,(936)
,"(1,267)","1,228"
,"(1,560)","1,111"
,"32,613","20,715"
,"32,532","20,715"
,81,-
,"32,613","20,715"
