Committee and Members,Committee TORs
,"The Committee oversees the enterprise-wide view of risks and controls and brings together the
overall risk appetite and risk profile of the business. It meets quarterly to advise the business on all
matters pertaining to credit, market, operations, legal, environmental, compliance and other risks.
Business continuity issues are also discussed by this Committee."
,"In accordance with regulatory requirements, the Committee comprises of only non-executive
members of the Board who are independent of the day-to-day management of the Company’s
operations. It takes a largely backward-looking view, focused on financial reporting and control
issues, including overseeing any control issue remediation plans."
,"This Committee reviews the credit risk profile of the Company and approves customer facilities,
policies and standards for credit risk governance and management. The Committee also reviews the
Company’s credit risk appetite and sectorial concentration."
,"This Committee reviews human resource policies and makes suitable recommendations to the
Board on senior management appointments. This Committee also oversees the nomination functions
and senior management performance reviews. The Committee keeps under review the structure,
size and composition of the Board as well as succession planning for Directors. It leads the process
for identifying, nominating for approval by the Board, candidates to fill Board vacancies."
,"The Committee ensures transparency in procurement and dealings with suppliers/service providers.
It meets review and approve high value procurement needs of the Company deemed necessary for
efficient service delivery."
,"The Committee reviews and recommends to the Board for approval matters pertaining to: business
strategic plans including its implementation and monitoring process; new markets expansion;
significant investment and divestment decisions; annual business and financial plans and budgets
and sustainability."
,"The Committee reviews the scope and the effectiveness of IT operations and provide direction on
enhancing the utility of IT resources through clearly laid down processes, procedures and time
frames."
